"episode_id","season_id","franchise_id","judge","judge_type"
"F10S01E01","F10S01","F10","RuPaul","Main"
"F10S01E01","F10S01","F10","Merle Ginsberg","Main"
"F10S01E01","F10S01","F10","Santino Rice","Main"
"F10S01E01","F10S01","F10","Bob Mackie","Guest"
"F10S01E01","F10S01","F10","Mike Ruiz","Guest"
"F10S01E02","F10S01","F10","RuPaul","Main"
"F10S01E02","F10S01","F10","Merle Ginsberg","Main"
"F10S01E02","F10S01","F10","Santino Rice","Main"
"F10S01E02","F10S01","F10","Frank Gatson","Guest"
"F10S01E02","F10S01","F10","Michelle Williams","Guest"
"F10S01E03","F10S01","F10","RuPaul","Main"
"F10S01E03","F10S01","F10","Merle Ginsberg","Main"
"F10S01E03","F10S01","F10","Santino Rice","Main"
"F10S01E04","F10S01","F10","RuPaul","Main"
"F10S01E04","F10S01","F10","Merle Ginsberg","Main"
"F10S01E04","F10S01","F10","Santino Rice","Main"
"F10S01E05","F10S01","F10","RuPaul","Main"
"F10S01E05","F10S01","F10","Merle Ginsberg","Main"
"F10S01E05","F10S01","F10","Santino Rice","Main"
"F10S01E06","F10S01","F10","RuPaul","Main"
"F10S01E06","F10S01","F10","Merle Ginsberg","Main"
"F10S01E06","F10S01","F10","Santino Rice","Main"
"F10S01E08","F10S01","F10","RuPaul","Main"
"F10S01E08","F10S01","F10","Merle Ginsberg","Main"
"F10S01E08","F10S01","F10","Santino Rice","Main"
"F10S02E01","F10S02","F10","RuPaul","Main"
"F10S02E01","F10S02","F10","Merle Ginsberg","Main"
"F10S02E01","F10S02","F10","Santino Rice","Main"
"F10S02E01","F10S02","F10","Mike Ruiz","Guest"
"F10S02E01","F10S02","F10","Kathy Griffin","Guest"
"F10S02E02","F10S02","F10","RuPaul","Main"
"F10S02E02","F10S02","F10","Merle Ginsberg","Main"
"F10S02E02","F10S02","F10","Santino Rice","Main"
"F10S02E02","F10S02","F10","Kim Coles","Guest"
"F10S02E02","F10S02","F10","Dita Von Teese","Guest"
"F10S02E03","F10S02","F10","RuPaul","Main"
"F10S02E03","F10S02","F10","Merle Ginsberg","Main"
"F10S02E03","F10S02","F10","Santino Rice","Main"
"F10S02E03","F10S02","F10","Kathy Najimy","Guest"
"F10S02E03","F10S02","F10","Tanya Tucker","Guest"
"F10S02E04","F10S02","F10","RuPaul","Main"
"F10S02E04","F10S02","F10","Merle Ginsberg","Main"
"F10S02E04","F10S02","F10","Santino Rice","Main"
"F10S02E04","F10S02","F10","Lisa Rinna","Guest"
"F10S02E04","F10S02","F10","Niecy Nash","Guest"
"F10S02E05","F10S02","F10","RuPaul","Main"
"F10S02E05","F10S02","F10","Merle Ginsberg","Main"
"F10S02E05","F10S02","F10","Santino Rice","Main"
"F10S02E05","F10S02","F10","Mathu Andersen","Guest"
"F10S02E05","F10S02","F10","Martha Wash","Guest"
"F10S02E06","F10S02","F10","RuPaul","Main"
"F10S02E06","F10S02","F10","Merle Ginsberg","Main"
"F10S02E06","F10S02","F10","Santino Rice","Main"
"F10S02E06","F10S02","F10","Henry Rollins","Guest"
"F10S02E06","F10S02","F10","Terri Nunn","Guest"
"F10S02E07","F10S02","F10","RuPaul","Main"
"F10S02E07","F10S02","F10","Merle Ginsberg","Main"
"F10S02E07","F10S02","F10","Santino Rice","Main"
"F10S02E07","F10S02","F10","Gigi Levangie","Guest"
"F10S02E07","F10S02","F10","Jackie Collins","Guest"
"F10S02E08","F10S02","F10","RuPaul","Main"
"F10S02E08","F10S02","F10","Merle Ginsberg","Main"
"F10S02E08","F10S02","F10","Santino Rice","Main"
"F10S02E08","F10S02","F10","Debbie Reynolds","Guest"
"F10S02E08","F10S02","F10","Cloris Leachman","Guest"
"F10S02E08","F10S02","F10","Toni Ko","Guest"
"F10S02E09","F10S02","F10","RuPaul","Main"
"F10S02E09","F10S02","F10","Merle Ginsberg","Main"
"F10S02E09","F10S02","F10","Santino Rice","Main"
"F10S02E09","F10S02","F10","Tatum O'Neal","Guest"
"F10S02E09","F10S02","F10","Marissa Jaret Winokur","Guest"
"F10S02E11","F10S02","F10","RuPaul","Main"
"F10S02E11","F10S02","F10","Merle Ginsberg","Main"
"F10S02E11","F10S02","F10","Santino Rice","Main"
"F10S03E02","F10S03","F10","RuPaul","Main"
"F10S03E02","F10S03","F10","Santino Rice","Main"
"F10S03E02","F10S03","F10","Michelle Visage","Main"
"F10S03E02","F10S03","F10","Billy B","Main"
"F10S03E02","F10S03","F10","Bruce Vilanch","Guest"
"F10S03E02","F10S03","F10","Mike Ruiz","Guest"
"F10S03E02","F10S03","F10","Vanessa Williams","Guest"
"F10S03E03","F10S03","F10","RuPaul","Main"
"F10S03E03","F10S03","F10","Santino Rice","Main"
"F10S03E03","F10S03","F10","Michelle Visage","Main"
"F10S03E03","F10S03","F10","Billy B","Main"
